"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.323791666E-3,-3.853436737E0,5.878425751E0,6.075266418E0,9.290518072E0
1.632979167E-2,-3.236868896E0,6.112089844E0,5.749843140E0,8.994201390E0
2.633679167E-2,-2.910996552E0,6.115981750E0,5.574108582E0,8.772104660E0
3.634279167E-2,-2.592159576E0,6.223607941E0,5.979465637E0,9.011470267E0
4.634912500E-2,-2.118843842E0,6.527176666E0,6.559808807E0,9.493399078E0
5.635612500E-2,-1.635349274E0,6.631509705E0,6.960076447E0,9.751612808E0
6.636212500E-2,-1.330882416E0,6.571035461E0,7.265142059E0,9.885951860E0
7.636912500E-2,-1.325792999E0,6.461613007E0,7.320377197E0,9.853836412E0
8.637512500E-2,-1.616488495E0,6.484665070E0,7.121440887E0,9.766208908E0
9.638112500E-2,-2.084415436E0,6.745871887E0,6.983427887E0,9.930752251E0
1.063881250E-1,-2.583327942E0,6.944359131E0,6.924001465E0,1.014098138E1
1.163941250E-1,-2.886447601E0,6.936874695E0,6.835535431E0,1.015757623E1
1.264011250E-1,-2.992427216E0,6.673871613E0,6.702761536E0,9.920796094E0
1.364071250E-1,-3.039429474E0,6.292464752E0,6.653064880E0,9.648653610E0
1.464131250E-1,-3.022215271E0,5.983507233E0,6.768624573E0,9.526301620E0
1.564201250E-1,-2.948418732E0,5.907315674E0,7.076833649E0,9.678384472E0
1.664261250E-1,-2.900069275E0,6.017187195E0,7.366331635E0,9.943831519E0
1.764321250E-1,-2.806064758E0,6.151158600E0,7.441475372E0,1.005416865E1
1.864391250E-1,-2.709814911E0,6.239025879E0,7.326364746E0,9.997207668E0
1.964451250E-1,-2.660267944E0,6.267766113E0,7.251071320E0,9.946856431E0
2.064521250E-1,-2.609373779E0,6.299799500E0,7.199728088E0,9.916268946E0
2.164581250E-1,-2.404300232E0,6.450685730E0,7.223229218E0,9.978328834E0
2.264641250E-1,-2.052831116E0,6.598129120E0,7.195387115E0,9.976122454E0
2.364711250E-1,-1.664089508E0,6.596482544E0,7.056775360E0,9.802084183E0
2.464771250E-1,-1.292861481E0,6.436614990E0,6.966063995E0,9.572228107E0
2.564841250E-1,-1.051114197E0,6.146667938E0,7.194938049E0,9.521213228E0
2.664901250E-1,-8.689430237E-1,5.625302124E0,7.422315216E0,9.353600864E0
2.764961250E-1,-8.416996765E-1,5.388494568E0,7.186256104E0,9.021452701E0
2.865031250E-1,-1.019978943E0,5.619763641E0,6.942562866E0,8.990065605E0
2.965091250E-1,-1.074166260E0,5.809868317E0,6.619833984E0,8.873026822E0
3.065151250E-1,-1.159488831E0,5.961952057E0,6.423592072E0,8.840351904E0
3.165221250E-1,-1.722318420E0,6.298751678E0,6.550977173E0,9.249646229E0
3.265281250E-1,-1.913321228E0,6.411467285E0,6.478378143E0,9.313275162E0
