"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.311104163E-2,-3.846551056E0,8.695417786E0,6.855294342E0,1.172183032E1
2.311704168E-2,-3.537144470E0,8.742719421E0,7.570806427E0,1.209395071E1
3.312304150E-2,-2.701432343E0,8.671317902E0,8.857081604E0,1.268610994E1
4.313004157E-2,-1.876946869E0,8.060887299E0,9.998757477E0,1.297982992E1
5.313604162E-2,-1.728156281E0,7.133565674E0,1.062505508E1,1.291379413E1
6.314204168E-2,-2.080523529E0,6.657854919E0,1.108759323E1,1.309924937E1
7.314804150E-2,-2.628683624E0,6.454278259E0,1.121452927E1,1.320353559E1
8.315404155E-2,-3.105142822E0,6.069877625E0,1.115330658E1,1.307216791E1
9.316104162E-2,-3.459306335E0,5.928272095E0,1.078911392E1,1.278734490E1
1.031670417E-1,-3.761827240E0,5.884712677E0,1.019440063E1,1.235746705E1
1.131730415E-1,-3.800746307E0,5.819448395E0,9.742789764E0,1.196802425E1
1.231790415E-1,-3.577560425E0,5.570516052E0,9.229357452E0,1.135828449E1
1.331850416E-1,-3.262166290E0,5.577850800E0,8.784033508E0,1.090474177E1
1.431920417E-1,-2.879412231E0,5.769751740E0,8.430917816E0,1.061420864E1
1.531980417E-1,-2.616708527E0,5.826783142E0,8.129594421E0,1.033870740E1
1.632040415E-1,-2.149979095E0,5.987099762E0,8.185578003E0,1.036684431E1
1.732100416E-1,-1.588796082E0,6.174659729E0,8.284073181E0,1.045354314E1
1.832160417E-1,-1.245410156E0,6.196663971E0,8.217162323E0,1.036684366E1
1.932220417E-1,-1.251547394E0,6.215674438E0,8.254734192E0,1.040872788E1
2.032290415E-1,-1.436862030E0,6.078409882E0,8.155939636E0,1.027282778E1
2.132350416E-1,-1.795516205E0,5.675148468E0,7.936945038E0,9.921002223E0
2.232410416E-1,-2.264341278E0,5.290598145E0,7.788753204E0,9.684128594E0
2.332470417E-1,-2.694546661E0,5.082680511E0,7.769593048E0,9.667512556E0
2.432530415E-1,-3.010988617E0,5.036726074E0,7.828121338E0,9.783360654E0
2.532600416E-1,-3.036136322E0,4.928201752E0,7.947273560E0,9.831808242E0
2.632660416E-1,-2.669249268E0,4.605772247E0,7.993826752E0,9.604129101E0
2.732720417E-1,-2.208806763E0,4.374353485E0,7.810158691E0,9.220215535E0
2.832780415E-1,-1.779200134E0,4.301006012E0,7.562124481E0,8.879748448E0
2.932840416E-1,-1.412762146E0,4.346810760E0,7.168592834E0,8.501728289E0
3.032900416E-1,-1.077758789E0,4.460873566E0,6.772366791E0,8.180825687E0
3.132970417E-1,-9.520202637E-1,4.367916870E0,6.488706665E0,7.879616396E0
3.233030415E-1,-9.940827942E-1,3.843257904E0,6.308930511E0,7.453954395E0
3.333090416E-1,-1.248254242E0,3.526217194E0,6.073470154E0,7.132978765E0
3.433150416E-1,-1.609602814E0,3.945644989E0,5.829327850E0,7.220803195E0
3.533210417E-1,-1.914369049E0,4.555027771E0,5.637127533E0,7.496018521E0
3.633280415E-1,-1.972747650E0,4.798271942E0,5.344935150E0,7.448723292E0
3.733340416E-1,-1.894610138E0,4.940775604E0,5.134173431E0,7.372960597E0
3.833400416E-1,-1.768721924E0,5.177134094E0,5.207670593E0,7.553206450E0
3.933460417E-1,-1.641187134E0,5.741011505E0,5.471422119E0,8.098713991E0
4.033520415E-1,-1.185534668E0,6.181246033E0,5.614374847E0,8.434127097E0
4.133590416E-1,-7.771838379E-1,6.047424316E0,5.759572906E0,8.387373584E0
4.233650416E-1,-1.202449493E0,4.856201477E0,5.325475616E0,7.306796022E0
4.333710417E-1,-1.625020752E0,3.391197968E0,4.658312988E0,5.986718299E0
4.433770417E-1,-1.988165588E0,3.742816772E0,5.392236786E0,6.858403411E0
4.533830415E-1,-1.863474884E0,5.167104950E0,6.522686005E0,8.527423111E0
4.633890416E-1,-9.677375793E-1,6.205345917E0,7.473658447E0,9.762090173E0
4.733960417E-1,-6.976991272E-1,6.458319855E0,7.485633545E0,9.911174955E0
4.834020417E-1,-6.697073364E-1,6.790479126E0,7.041207733E0,9.804984499E0
4.934080415E-1,-5.408253479E-1,7.111112366E0,6.357729034E0,9.554115847E0
5.034140416E-1,-6.084846497E-1,6.909631348E0,5.870791626E0,9.087323767E0
5.134200417E-1,-8.363108826E-1,6.444847870E0,6.013444977E0,8.854208064E0
5.234270417E-1,-9.425898743E-1,6.084397430E0,6.632707214E0,9.049926671E0
5.334330415E-1,-7.066804504E-1,6.070626068E0,7.557933197E0,9.719786640E0
5.434390416E-1,-4.724176025E-1,6.328240356E0,8.571625214E0,1.066501586E1
5.534450416E-1,-1.426533508E-1,6.573580170E0,8.814120941E0,1.099641006E1
5.634510417E-1,3.781137085E-1,6.837182007E0,8.970545654E0,1.128542056E1
5.734570415E-1,7.047344971E-1,7.267088013E0,8.570876770E0,1.125909177E1
5.834640416E-1,7.714956665E-1,7.469317474E0,8.139623566E0,1.107426661E1
5.934700416E-1,7.084767151E-1,7.117998047E0,8.351882172E0,1.099644357E1
6.034760417E-1,7.924520874E-1,6.542744293E0,9.519154816E0,1.157798737E1
6.134820415E-1,1.172960815E0,6.178851013E0,1.102038300E1,1.268869096E1
6.234880416E-1,1.445094910E0,6.074368286E0,1.178858551E1,1.334005239E1
6.334950416E-1,2.078278198E0,6.180946655E0,1.165326691E1,1.335372500E1
6.435010417E-1,2.508184204E0,6.364764404E0,1.064182022E1,1.265106919E1
6.535070415E-1,3.188220062E0,6.328689423E0,9.655970306E0,1.197726261E1
6.635130416E-1,3.755690002E0,6.221212921E0,9.896969147E0,1.227838328E1
6.735190416E-1,3.905977478E0,6.324198761E0,1.074061478E1,1.306188944E1
6.835250417E-1,3.934717712E0,6.049220581E0,1.159189453E1,1.365456304E1
6.935320415E-1,3.632496185E0,5.632936249E0,1.252819748E1,1.420847393E1
7.035380416E-1,3.463796997E0,5.272036743E0,1.376986542E1,1.514600458E1
7.135440416E-1,3.238216095E0,4.979994049E0,1.455333618E1,1.571896874E1
7.235500417E-1,3.287613373E0,4.705614624E0,1.457099945E1,1.566094619E1
7.335560415E-1,3.253334656E0,4.680616608E0,1.357976074E1,1.472760198E1
7.435620415E-1,2.810705109E0,4.600233765E0,1.166464325E1,1.285014070E1
7.535690416E-1,2.618654480E0,4.263434143E0,9.926457825E0,1.111614982E1
7.635750417E-1,2.538121948E0,3.925437012E0,8.658744049E0,9.839967849E0
7.735810417E-1,2.273023224E0,3.910318451E0,8.282875671E0,9.437333011E0
7.835870415E-1,1.652413788E0,3.669918365E0,8.515342255E0,9.418589377E0
7.935930416E-1,2.059417419E0,2.961441650E0,9.166937256E0,9.851095138E0
8.036000417E-1,2.598296814E0,2.842289429E0,9.822424164E0,1.055034464E1
8.136060417E-1,2.860401764E0,3.207679596E0,9.689650269E0,1.060002023E1
8.236120415E-1,3.371588745E0,3.838018799E0,9.098230133E0,1.043435626E1
8.336180416E-1,3.669618988E0,4.310885468E0,8.519832916E0,1.022924191E1
8.436241667E-1,3.613635406E0,4.405638428E0,7.943082275E0,9.775508521E0
8.536301665E-1,3.051254883E0,4.365222473E0,7.251520386E0,8.997214653E0
8.636371666E-1,2.240540771E0,4.169429626E0,6.898554382E0,8.366254773E0
8.736431666E-1,1.770069122E0,3.930975494E0,6.853797455E0,8.096928590E0
8.836491667E-1,1.632205811E0,3.252885590E0,6.714287567E0,7.637212712E0
8.936551665E-1,1.563199310E0,3.094814301E0,6.765780487E0,7.602450476E0
9.036611666E-1,1.464853821E0,3.500171356E0,6.429130554E0,7.465300792E0
9.136671666E-1,1.127156067E0,3.918251953E0,5.633684692E0,6.954249232E0
9.236741667E-1,9.621990967E-1,4.004622345E0,5.551505585E0,6.912455532E0
9.336801667E-1,1.076561279E0,3.971391449E0,6.118077393E0,7.373045857E0
9.436861665E-1,1.060394897E0,3.995042267E0,6.382128296E0,7.603707098E0
9.536921666E-1,1.194665680E0,3.964505768E0,6.424490204E0,7.643206555E0
9.636981667E-1,1.759890289E0,3.665128326E0,6.443350983E0,7.618868116E0
9.737051667E-1,2.140848083E0,3.527863770E0,6.205944672E0,7.452704379E0
9.837111665E-1,1.857786713E0,3.673211517E0,5.767356720E0,7.085637435E0
9.937171666E-1,1.178050232E0,3.667074280E0,5.508544922E0,6.721555124E0
1.003723167E0,6.656657410E-1,3.788471832E0,5.526507568E0,6.733343568E0
1.013729167E0,3.826043701E-1,3.887266388E0,5.732179871E0,6.936505759E0
1.023735167E0,4.535568237E-1,3.953578491E0,5.810317383E0,7.042462976E0
1.033742167E0,7.587721252E-1,3.998036041E0,5.672603760E0,6.981293629E0
1.043748167E0,1.062340851E0,4.044888611E0,5.267546082E0,6.725825873E0
1.053754167E0,1.498982849E0,4.312382355E0,5.417983246E0,7.085064122E0
1.063760167E0,1.758992157E0,4.808899841E0,5.726791077E0,7.682168127E0
1.073766167E0,1.815574493E0,4.947212219E0,6.158493347E0,8.105446304E0
1.083772167E0,1.920805664E0,4.958588562E0,6.765181732E0,8.604927588E0
1.093779167E0,1.778152313E0,4.862189026E0,6.921456757E0,8.643452517E0
1.103785167E0,1.428479462E0,4.743934937E0,6.915169830E0,8.506764722E0
1.113791167E0,1.062490540E0,4.838837585E0,7.302713928E0,8.824560388E0
1.123797167E0,9.262738037E-1,4.984185333E0,7.645501099E0,9.173536594E0
1.133803167E0,9.030720520E-1,4.878505096E0,7.771988068E0,9.220582933E0
1.143809167E0,1.038540344E0,5.324278107E0,8.161328430E0,9.799682911E0
1.153816167E0,1.338965607E0,5.964646454E0,8.401878204E0,1.039044723E1
1.163822167E0,1.415755920E0,6.268065491E0,8.733139343E0,1.084254272E1
1.173828167E0,1.634002075E0,6.309828644E0,8.856333160E0,1.099629653E1
1.183834166E0,1.534608765E0,6.687193909E0,8.532556458E0,1.094888607E1
1.193840167E0,1.325194244E0,6.935078430E0,7.973918152E0,1.065057854E1
1.203846167E0,1.317859497E0,6.683751068E0,7.829318848E0,1.037822314E1
1.213853167E0,9.110055542E-1,6.652166748E0,8.260572052E0,1.064510705E1
1.223859166E0,3.192860413E-1,6.454877014E0,8.876690826E0,1.098011935E1
1.233865167E0,-1.182540894E-2,6.106251984E0,1.006686584E1,1.177404948E1
1.243871167E0,-3.282673645E-1,6.118077393E0,1.098745148E1,1.258025121E1
1.253877167E0,-3.787124634E-1,6.018085327E0,1.145777344E1,1.294763864E1
1.263883167E0,2.704875183E-1,5.815257111E0,1.187106400E1,1.322166930E1
1.273890167E0,9.101074219E-1,5.934259644E0,1.216684891E1,1.356745906E1
1.283896167E0,1.293759613E0,5.692811737E0,1.290436523E1,1.416349397E1
1.293902167E0,1.421444092E0,5.807622986E0,1.389051453E1,1.512267773E1
1.303908167E0,1.096320190E0,6.267616425E0,1.427386734E1,1.562780287E1
1.313914167E0,4.071533203E-1,6.486311646E0,1.392643982E1,1.536827052E1
1.323920167E0,-1.326242065E-1,6.128405914E0,1.351120331E1,1.483669650E1
1.333927167E0,-4.671784973E-1,5.332061920E0,1.375744125E1,1.476198936E1
1.343933167E0,-6.580316162E-1,4.347409515E0,1.406265656E1,1.473401793E1
1.353939167E0,-6.192622375E-1,3.453618164E0,1.375354935E1,1.419405100E1
1.363945167E0,-6.409671021E-1,3.134032745E0,1.283910095E1,1.323161038E1
