"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.904624963E-3,-8.023315430E-2,3.041525116E0,9.135053558E0,9.628422296E0
1.884362497E-2,-5.179229736E-2,3.122806091E0,9.072333984E0,9.594886359E0
2.878262498E-2,-2.185455322E-2,3.178041229E0,9.093589783E0,9.632953795E0
3.872162499E-2,1.901046753E-2,3.207380219E0,9.156009979E0,9.701554927E0
4.866062501E-2,4.490661621E-3,3.179089050E0,9.234297180E0,9.766210717E0
5.859962502E-2,-3.008743286E-2,3.107238464E0,9.276509399E0,9.783121320E0
6.853862503E-2,-3.457809448E-2,3.059487762E0,9.271120605E0,9.762957456E0
7.847862504E-2,-3.906875610E-2,3.039878540E0,9.249116364E0,9.735940705E0
8.841762505E-2,6.885681152E-3,3.044069824E0,9.203910370E0,9.694244406E0
9.835662507E-2,3.861968994E-2,3.059487762E0,9.203610992E0,9.698887160E0
1.082956251E-1,3.412902832E-2,3.075953522E0,9.174721069E0,9.676681330E0
1.182346251E-1,-5.688171387E-3,3.082988892E0,9.189540253E0,9.692909930E0
1.281736251E-1,-1.451980591E-2,3.042423248E0,9.217831421E0,9.706954525E0
1.381126251E-1,-6.197113037E-2,3.015479279E0,9.210945740E0,9.692186395E0
1.480516251E-1,-7.843688965E-2,3.009491730E0,9.185947723E0,9.666686526E0
1.579906251E-1,-6.855743408E-2,2.998414764E0,9.192384338E0,9.669287515E0
1.679296251E-1,-2.395019531E-2,3.004851379E0,9.232949982E0,9.709638036E0
1.778696252E-1,1.197509766E-2,2.969375153E0,9.339827728E0,9.800495610E0
1.878086252E-1,-1.227447510E-2,2.938389587E0,9.458530884E0,9.904448016E0
1.977476249E-1,-2.050735474E-2,2.892285461E0,9.596244507E0,1.002265655E1
2.076866250E-1,-4.505630493E-2,2.844834137E0,9.692194977E0,1.010117591E1
2.176256250E-1,-4.550537109E-2,2.792293396E0,9.760752411E0,1.015240172E1
2.275646250E-1,-4.894821167E-2,2.748584290E0,9.779313812E0,1.015835076E1
2.375036250E-1,-3.173400879E-2,2.709814911E0,9.735904083E0,1.010603445E1
2.474426250E-1,-5.328918457E-2,2.677482147E0,9.651779022E0,1.001641596E1
2.573816250E-1,-5.852828979E-2,2.693798218E0,9.555978241E0,9.928579684E0
2.673216250E-1,-1.975891113E-2,2.701432343E0,9.460626526E0,9.838779466E0
2.772606250E-1,7.035369873E-3,2.677033081E0,9.371262360E0,9.746133276E0
2.871996250E-1,-1.092727661E-2,2.659818878E0,9.318122864E0,9.690313182E0
2.971386251E-1,-2.993774414E-4,2.649789734E0,9.316625977E0,9.686119208E0
3.070776251E-1,-1.347198486E-3,2.587219849E0,9.358688507E0,9.709724967E0
3.170166251E-1,-1.960922241E-2,2.550246735E0,9.347461853E0,9.689127206E0
3.269556251E-1,-5.538482666E-2,2.517315216E0,9.278155975E0,9.613746495E0
3.368946251E-1,-5.733078003E-2,2.530787201E0,9.231453094E0,9.572246179E0
3.468336251E-1,-4.924758911E-2,2.516267395E0,9.218579865E0,9.555953204E0
3.567726251E-1,-5.343887329E-2,2.502945099E0,9.222022705E0,9.555798902E0
3.667126251E-1,-2.559677124E-2,2.470462646E0,9.209299164E0,9.534937439E0
3.766516251E-1,-3.562591553E-2,2.429298248E0,9.171128540E0,9.487484276E0
3.865906252E-1,-1.796264648E-3,2.415826263E0,9.126970367E0,9.441282108E0
3.965296252E-1,1.616638184E-2,2.387235718E0,9.052724762E0,9.362210281E0
4.064686249E-1,1.886077881E-2,2.372715912E0,8.940009155E0,9.249535136E0
4.164076250E-1,2.469863892E-2,2.342179413E0,8.815168762E0,9.121053378E0
4.263466250E-1,2.454895020E-2,2.281256104E0,8.696465607E0,8.990731122E0
4.362856250E-1,5.373825073E-2,2.251917114E0,8.648265839E0,8.936807064E0
4.462246250E-1,4.670288086E-2,2.149380341E0,8.653804321E0,8.916857419E0
4.561646250E-1,1.167572021E-2,2.060465240E0,8.732839966E0,8.972633237E0
4.661036250E-1,-4.281097412E-2,1.958227844E0,8.880283356E0,9.093729793E0
4.760426250E-1,-1.213975525E-1,1.844464417E0,8.902736664E0,9.092607242E0
4.859816250E-1,-1.284329224E-1,1.746268616E0,8.773405609E0,8.946429180E0
4.959206250E-1,-8.562194824E-2,1.674268341E0,8.535250854E0,8.698333906E0
5.058596251E-1,-4.580474854E-2,1.589544525E0,8.308023376E0,8.458841664E0
5.157986251E-1,5.239105225E-3,1.507515106E0,8.225694580E0,8.362695772E0
5.257376251E-1,6.780899048E-2,1.388512573E0,8.159382477E0,8.276961256E0
5.356766251E-1,1.035845947E-1,1.283131714E0,8.071814575E0,8.173820851E0
5.456156251E-1,9.415420532E-2,1.198557587E0,7.879314880E0,7.970508659E0
5.555556251E-1,5.209167480E-2,1.098565521E0,7.527995453E0,7.607908733E0
5.654946251E-1,3.891906738E-3,1.013093262E0,7.056625671E0,7.128978817E0
5.754336251E-1,-4.805007935E-2,9.604028320E-1,6.539002075E0,6.609329054E0
5.853726252E-1,-1.106199646E-1,9.517208862E-1,6.100863190E0,6.175640945E0
5.953116252E-1,-2.315684509E-1,8.985813904E-1,5.752986603E0,5.827343075E0
6.052506249E-1,-3.519181824E-1,8.532257080E-1,5.563929749E0,5.639960528E0
6.151896250E-1,-4.201762390E-1,8.499325562E-1,5.482499084E0,5.563877212E0
6.251286250E-1,-3.809577942E-1,9.352551270E-1,5.487887878E0,5.580030857E0
6.350676250E-1,-2.459385681E-1,1.175355835E0,5.779331818E0,5.902764045E0
6.450076250E-1,-1.911524963E-1,1.488205261E0,6.607559509E0,6.775775738E0
6.549466250E-1,-3.185375977E-1,1.710043945E0,7.967631226E0,8.155296674E0
6.648856250E-1,-4.158352661E-1,1.899549866E0,9.469458160E0,9.667049525E0
6.748246250E-1,-3.906875610E-1,2.116748199E0,1.076920532E1,1.098221485E1
6.847636250E-1,-2.540217590E-1,2.420466614E0,1.159907959E1,1.185165950E1
6.947026250E-1,-1.594184875E-1,2.771037598E0,1.188738007E1,1.220712368E1
7.046416251E-1,-1.101708984E-1,3.136727142E0,1.181972076E1,1.222934969E1
7.145806251E-1,2.993774414E-4,3.333118744E0,1.174248138E1,1.220637332E1
7.245196251E-1,1.303788757E-1,3.432961121E0,1.213960556E1,1.261634828E1
7.344586251E-1,2.950364685E-1,3.538042603E0,1.308309357E1,1.355625794E1
7.443986251E-1,4.204756165E-1,3.506907349E0,1.407852356E1,1.451482086E1
7.543376251E-1,4.534071350E-1,3.365301819E0,1.483160751E1,1.521536775E1
7.642766251E-1,2.636018372E-1,3.192411346E0,1.531899399E1,1.565032118E1
7.742156251E-1,-6.137237549E-3,3.060834961E0,1.563798065E1,1.593471641E1
7.841546251E-1,-2.604583740E-1,3.111878815E0,1.572494980E1,1.603202029E1
7.940936252E-1,-3.595523071E-1,3.487896881E0,1.570504120E1,1.609170661E1
8.040326252E-1,-3.676354980E-1,4.038152618E0,1.564950668E1,1.616628875E1
8.139716249E-1,-3.288661194E-1,4.635260925E0,1.557840454E1,1.625670584E1
8.239106250E-1,-1.926493835E-1,5.210364990E0,1.562046707E1,1.646766555E1
8.338506250E-1,-5.418731689E-2,5.612578583E0,1.595981140E1,1.691802455E1
8.437896250E-1,4.565505981E-2,5.838458862E0,1.693982346E1,1.791779297E1
8.537286250E-1,2.269281006E-1,5.887407074E0,1.846425339E1,1.938147857E1
8.636676250E-1,6.259982300E-1,5.721402283E0,2.008538223E1,2.089375259E1
8.736066250E-1,1.095721436E0,5.454507294E0,2.150353317E1,2.221157793E1
8.835456250E-1,1.326990509E0,5.250631256E0,2.252246429E1,2.316444323E1
8.934846250E-1,1.348545685E0,5.214107208E0,2.301703583E1,2.363872729E1
9.034236250E-1,1.469344482E0,5.346881104E0,2.292602509E1,2.358708835E1
9.133626251E-1,1.673819275E0,5.574407959E0,2.217159393E1,2.292281118E1
9.233026251E-1,1.633553009E0,5.675597534E0,2.107257935E1,2.188457226E1
9.332416251E-1,1.517394562E0,5.649551697E0,2.019106247E1,2.102139206E1
9.431806251E-1,1.621727600E0,5.334307251E0,1.936328384E1,2.014997756E1
9.531196251E-1,1.995799713E0,4.748275909E0,1.820364532E1,1.891829918E1
9.630586251E-1,2.589914246E0,4.005370789E0,1.625335098E1,1.693877413E1
9.729976251E-1,2.971021729E0,3.166964264E0,1.368484222E1,1.435728176E1
9.829366251E-1,3.097508698E0,2.347418518E0,1.104867416E1,1.171230697E1
9.928756251E-1,3.228486328E0,1.618434448E0,8.583899689E0,9.312668141E0
1.002814625E0,3.453618164E0,1.104852448E0,6.495442657E0,7.439015571E0
1.012753625E0,3.705693970E0,9.159452820E-1,4.898413696E0,6.210119185E0
1.022693625E0,3.644620972E0,9.110055542E-1,3.832480316E0,5.366665494E0
1.032632625E0,3.381168823E0,8.572673035E-1,3.180286560E0,4.720321223E0
1.042571625E0,2.847977600E0,6.183641052E-1,2.807861023E0,4.046904261E0
1.052510625E0,2.147434387E0,2.197430420E-1,2.698588257E0,3.455740157E0
1.062449625E0,1.392105103E0,-2.932402039E-1,2.646945648E0,3.005040382E0
1.072388625E0,5.230123901E-1,-7.256909180E-1,2.726130981E0,2.869139139E0
1.082327625E0,-4.149371338E-1,-9.629475403E-1,2.849175110E0,3.035990711E0
1.092266625E0,-1.225351868E0,-9.470805359E-1,2.692151642E0,3.105821824E0
1.102205625E0,-1.666933594E0,-7.083270264E-1,2.106719055E0,2.778247642E0
1.112145625E0,-1.748513947E0,-4.058061218E-1,1.284329224E0,2.207143218E0
1.122084625E0,-1.752106476E0,-8.292755127E-2,2.065704346E-1,1.766189521E0
1.132023625E0,-1.640738068E0,2.583627319E-1,-8.322692871E-1,1.857806468E0
1.141962625E0,-1.391206970E0,5.135820007E-1,-1.620979156E0,2.196997208E0
1.151901625E0,-1.029708710E0,7.054829407E-1,-1.877395935E0,2.254467055E0
1.161840625E0,-6.084846497E-1,8.262817383E-1,-1.481918335E0,1.802519634E0
1.171779625E0,-1.134640503E-1,8.053253174E-1,-5.957611084E-1,1.008143966E0
1.181718625E0,3.576063538E-1,6.301895142E-1,3.237767029E-1,7.936324599E-1
1.191657625E0,5.054988098E-1,4.090992737E-1,1.055006104E0,1.239326083E0
1.201596625E0,3.270698547E-1,2.312690735E-1,1.546883240E0,1.597907329E0
1.211536625E0,-8.981323242E-3,-5.688171387E-3,1.598825226E0,1.598860570E0
1.221475625E0,-3.436853027E-1,-2.857557678E-1,1.405726776E0,1.475074139E0
1.231414625E0,-4.284091187E-1,-3.758683777E-1,1.193318481E0,1.322429737E0
1.241353625E0,-3.607498169E-1,-2.404000854E-1,1.084195404E0,1.167652476E0
1.251292625E0,-1.889071655E-1,-1.392105103E-2,1.034947815E0,1.052139103E0
1.261231625E0,8.352630615E-2,1.963916016E-1,9.891430664E-1,1.011904299E0
1.271170625E0,3.939807129E-1,3.483256531E-1,1.085542603E0,1.206214867E0
1.281109625E0,5.674699402E-1,4.945715332E-1,1.316961365E0,1.516908162E0
1.291048625E0,6.538403320E-1,6.099815369E-1,1.552122345E0,1.791275643E0
1.300988625E0,7.063810730E-1,6.331832886E-1,1.694326630E0,1.941813077E0
1.310927625E0,6.692582703E-1,5.679190063E-1,1.777852936E0,1.982725319E0
1.320866625E0,6.538403320E-1,5.284011841E-1,1.914069672E0,2.090544833E0
1.330805625E0,5.507048035E-1,5.412744141E-1,2.199825439E0,2.331412820E0
1.340744625E0,3.710783386E-1,6.027964783E-1,2.461481323E0,2.561240526E0
1.350683625E0,3.052153015E-1,8.821156311E-1,2.594255219E0,2.757071727E0
1.360622625E0,2.659968567E-1,1.364861755E0,2.659669189E0,3.001240100E0
1.370561625E0,2.742297363E-1,1.847907257E0,2.950065308E0,3.491825955E0
1.380500625E0,2.647993469E-1,2.178419952E0,3.482508087E0,4.116247655E0
1.390439625E0,2.306703186E-1,2.627635803E0,4.604874115E0,5.306839391E0
1.400379625E0,-2.074685669E-1,3.238365784E0,6.522536316E0,7.285158622E0
1.410318625E0,-1.031804352E0,3.916755066E0,8.613687744E0,9.518466632E0
1.420257625E0,-1.995200958E0,4.571194153E0,1.066157913E1,1.177055277E1
1.430196625E0,-2.344125366E0,5.105582886E0,1.201476517E1,1.326335110E1
1.440135625E0,-2.157613220E0,5.482648773E0,1.301992493E1,1.429101737E1
