"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.714541577E-3,-1.017553986E1,-6.541846161E0,3.006348267E0,1.246497062E1
1.165454159E-2,-1.172721313E1,-6.976392517E0,2.018402710E0,1.379389466E1
2.159454161E-2,-1.275452682E1,-7.765401764E0,1.206191711E0,1.498113205E1
3.153454163E-2,-1.332528992E1,-8.691076813E0,2.151326294E0,1.605385849E1
4.147454165E-2,-1.372361160E1,-9.443262634E0,2.729124756E0,1.688078335E1
5.141454167E-2,-1.384695511E1,-9.806856537E0,1.841620331E0,1.706763505E1
6.135454169E-2,-1.345866257E1,-1.011117371E1,1.372046814E0,1.688946252E1
7.129354170E-2,-1.262040573E1,-1.055979080E1,1.601968689E0,1.653330355E1
8.123354171E-2,-1.149160309E1,-1.089524323E1,1.743873596E0,1.593123855E1
9.117354173E-2,-1.084404968E1,-1.016476227E1,1.931732941E0,1.498824198E1
1.011135418E-1,-9.768386536E0,-8.026159515E0,1.472937012E0,1.272832100E1
1.110535418E-1,-8.546776886E0,-5.540428619E0,4.159849548E-1,1.019395840E1
1.209935418E-1,-8.123457184E0,-3.991150360E0,-6.601272583E-1,9.074998943E0
1.309335416E-1,-7.845934296E0,-3.701951752E0,-1.329684906E0,8.776741633E0
1.408725416E-1,-7.326514435E0,-4.522096252E0,-1.821711731E0,8.800329648E0
1.508125416E-1,-6.944508820E0,-5.985602875E0,-2.548300781E0,9.515644034E0
1.607525416E-1,-6.563850403E0,-7.376510468E0,-3.204685822E0,1.038109098E1
1.706925416E-1,-6.447242889E0,-8.180338898E0,-2.992876282E0,1.083707496E1
1.806325417E-1,-6.033802643E0,-8.668024750E0,-2.389930115E0,1.082835137E1
1.905725417E-1,-5.556595001E0,-8.652606812E0,-1.093326416E0,1.034111770E1
2.005115417E-1,-5.063370667E0,-8.368198242E0,1.189426575E0,9.852877747E0
2.104515417E-1,-5.001399536E0,-7.883057098E0,3.418141937E0,9.941844941E0
2.203915417E-1,-5.572162628E0,-7.737859039E0,3.590733032E0,1.018905406E1
2.303315417E-1,-5.750441895E0,-7.534731445E0,1.130449219E0,9.545557887E0
2.402715418E-1,-6.033203888E0,-7.675738220E0,1.779798889E-1,9.764639431E0
2.502115418E-1,-6.067482605E0,-8.098908234E0,1.304836578E0,1.020339445E1
2.601515416E-1,-5.537734222E0,-7.889793091E0,1.043629761E0,9.695591700E0
2.700905416E-1,-5.334157562E0,-7.680977325E0,-1.069525909E0,9.412467012E0
2.800305416E-1,-4.821623383E0,-9.201515350E0,-2.720442810E0,1.073856349E1
2.899705416E-1,-3.844305725E0,-1.090706863E1,-3.272644501E0,1.201886162E1
2.999105416E-1,-2.556234283E0,-1.141526184E1,-3.617826691E0,1.224463991E1
3.098505416E-1,-1.881886597E0,-1.081695602E1,-4.018244019E0,1.169163461E1
3.197905417E-1,-2.142794037E0,-9.148525543E0,-3.842359772E0,1.015139471E1
3.297295417E-1,-2.469863892E0,-8.247399445E0,-2.681523743E0,9.017227668E0
3.396695417E-1,-2.252665558E0,-8.026907959E0,-1.785337372E0,8.526029734E0
3.496095417E-1,-2.153421936E0,-8.833131409E0,-2.094444580E0,9.329958983E0
3.595495417E-1,-2.832110596E0,-9.453591156E0,-2.296524353E0,1.013238670E1
3.694895417E-1,-3.405867462E0,-9.503736877E0,-1.212628326E0,1.016815693E1
3.794295418E-1,-3.774251404E0,-9.062604218E0,4.361929321E-1,9.826801776E0
3.893695418E-1,-3.935615845E0,-8.688831482E0,1.469344482E0,9.651105523E0
3.993085416E-1,-4.059857483E0,-8.864566040E0,1.644929352E0,9.887808980E0
4.092485416E-1,-4.201163635E0,-9.202862549E0,1.450034637E0,1.021983637E1
4.191885416E-1,-4.077969818E0,-9.140442352E0,1.066232758E0,1.006550429E1
4.291285416E-1,-3.954027557E0,-9.020691376E0,7.153623962E-1,9.875168362E0
4.390685416E-1,-4.719535675E0,-7.998467102E0,4.734654236E-1,9.299121597E0
4.490085416E-1,-5.200186157E0,-6.937024384E0,-3.171903992E-1,8.675531864E0
4.589485417E-1,-5.235512695E0,-6.814129944E0,-9.361532593E-1,8.644035111E0
4.688875417E-1,-5.521118774E0,-6.935377808E0,-1.195563812E0,8.944919826E0
4.788275417E-1,-5.716462555E0,-7.160359955E0,-1.081950073E0,9.226012941E0
4.887675417E-1,-5.390889587E0,-7.392826538E0,-4.525090027E-1,9.160804504E0
