"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.805666601E-3,2.187101898E0,-1.406325531E0,7.718399506E0,8.144621363E0
8.134333417E-3,2.402503967E0,-1.297801208E0,6.675218811E0,7.212132796E0
1.807533321E-2,2.118843842E0,-9.442364502E-1,6.520141296E0,6.920500287E0
2.801533323E-2,1.696422272E0,-4.995112610E-1,7.084018707E0,7.301416374E0
3.795633325E-2,1.764081573E0,-2.133064270E-1,8.046517181E0,8.240383619E0
4.789733328E-2,2.274669800E0,-5.089416504E-2,9.246272278E0,9.522093465E0
5.783733330E-2,3.219954071E0,-1.616638184E-2,1.060290115E1,1.108105945E1
6.777833332E-2,3.729195099E0,-2.859054565E-2,1.160177399E1,1.218642167E1
7.771833334E-2,3.207829285E0,-9.460327148E-2,1.191462341E1,1.233926131E1
8.765833336E-2,3.203787689E0,-1.388961639E0,1.137095398E1,1.189504369E1
9.759933339E-2,3.081342316E0,-2.815644836E0,1.052356613E1,1.132112938E1
1.075403334E-1,3.426374817E0,-3.540138245E0,9.758357391E0,1.093152149E1
1.174803334E-1,4.237687683E0,-3.488795013E0,8.819509735E0,1.038813937E1
1.274213332E-1,4.929099884E0,-3.133883057E0,7.986042938E0,9.894146274E0
1.373613332E-1,5.396428070E0,-2.646047516E0,7.809410248E0,9.854435133E0
1.473023333E-1,5.375920715E0,-2.171983337E0,8.086783447E0,9.950582982E0
1.572423333E-1,4.659809875E0,-1.951491852E0,8.395890656E0,9.798628905E0
1.671833333E-1,3.781436462E0,-1.985471191E0,8.931177521E0,9.899863104E0
1.771233333E-1,3.095113678E0,-2.094444580E0,9.498797150E0,1.020752536E1
1.870643334E-1,2.609074402E0,-2.232307892E0,9.946366425E0,1.052238912E1
1.970043334E-1,2.340383148E0,-2.671793976E0,1.057580750E1,1.115632469E1
2.069453334E-1,1.960922241E0,-3.150797882E0,1.078971268E1,1.141011144E1
2.168853334E-1,1.350641327E0,-3.142115936E0,1.025277924E1,1.080817314E1
2.268263332E-1,3.679348755E-1,-2.916684723E0,9.329648895E0,9.781859453E0
2.367663332E-1,1.275048523E0,-2.330952759E0,8.290809174E0,8.706124640E0
2.467073333E-1,2.494562531E0,-1.477727051E0,8.203390961E0,8.700697829E0
2.566473333E-1,2.915936279E0,-1.123713226E0,8.004005585E0,8.592410675E0
2.665883333E-1,2.356100464E0,-8.637039185E-1,8.467292175E0,8.831321002E0
2.765283333E-1,1.848056946E0,-1.228495331E0,9.191935272E0,9.456013394E0
2.864693333E-1,1.181193695E0,-2.498903503E0,9.440119171E0,9.836441797E0
2.964093334E-1,-2.859054565E-2,-3.674109650E0,9.505383453E0,1.019079063E1
3.063503334E-1,-1.327289886E0,-4.491859131E0,9.944719849E0,1.099254064E1
3.162903334E-1,-2.336940308E0,-4.965474243E0,1.058823166E1,1.192593284E1
3.262313334E-1,-2.570155334E0,-4.875211945E0,1.102307739E1,1.232402634E1
3.361713332E-1,-2.166295166E0,-4.443659363E0,1.127530289E1,1.231143365E1
3.461123332E-1,-1.572180634E0,-4.113895111E0,1.126317810E1,1.209359607E1
3.560523333E-1,-8.696914673E-1,-3.886517944E0,1.114881592E1,1.183881250E1
3.659933333E-1,-4.808001709E-1,-3.717070312E0,1.091335556E1,1.153902553E1
3.759333333E-1,-7.261399841E-1,-3.349285126E0,1.061278061E1,1.115240344E1
3.858743333E-1,-7.289840698E-2,-2.948269043E0,1.036444702E1,1.077586964E1
3.958143333E-1,2.159559174E0,-2.523751831E0,9.847272491E0,1.039239119E1
4.057553334E-1,2.454895020E0,-2.689756622E0,9.084309082E0,9.787030793E0
4.156953334E-1,3.679348755E-1,-3.573818207E0,8.619675293E0,9.338434280E0
4.256363334E-1,-7.740403748E-1,-4.274511108E0,8.288414154E0,9.357798507E0
4.355763334E-1,-8.482859802E-1,-4.461622009E0,8.393645325E0,9.543528797E0
4.455173332E-1,-1.238674164E0,-4.276606750E0,8.743467865E0,9.811824972E0
4.554573332E-1,-1.936972046E0,-4.264481964E0,8.398884430E0,9.616596425E0
4.653983333E-1,-3.323838043E0,-5.366939392E0,7.700736237E0,9.957573819E0
4.753383333E-1,-4.205504608E0,-5.900130615E0,7.592062225E0,1.049462811E1
4.852787084E-1,-4.743186493E0,-5.341941376E0,7.547454987E0,1.039221981E1
4.952187084E-1,-5.298082581E0,-4.749623108E0,6.973847809E0,9.963089479E0
5.051597082E-1,-5.650000763E0,-4.382586365E0,5.846691742E0,9.236524032E0
5.150997082E-1,-5.980363770E0,-4.181105347E0,4.764591980E0,8.714799451E0
5.250407082E-1,-6.080804901E0,-4.266727295E0,5.432652740E0,9.202981357E0
5.349807083E-1,-6.410569153E0,-4.348307648E0,6.803202667E0,1.030954620E1
5.449217083E-1,-6.673721924E0,-4.149371338E0,7.253166962E0,1.069412352E1
5.548617083E-1,-6.628815308E0,-4.148772583E0,6.684948578E0,1.028795625E1
5.648027083E-1,-6.538553009E0,-3.819756775E0,6.013145599E0,9.669598610E0
5.747427084E-1,-6.024072876E0,-3.427123260E0,5.866300964E0,9.080094430E0
5.846837084E-1,-5.715265045E0,-3.432661743E0,6.152356110E0,9.071874496E0
5.946237084E-1,-6.372248840E0,-4.033212891E0,5.886808319E0,9.566967842E0
6.045647084E-1,-7.780969391E0,-4.910239105E0,5.559588776E0,1.075002140E1
6.145047082E-1,-8.870254211E0,-5.202730865E0,5.443729706E0,1.163546352E1
6.244457082E-1,-9.149573364E0,-4.935686188E0,5.072052612E0,1.156725588E1
6.343857083E-1,-8.973988495E0,-4.556524658E0,5.092410278E0,1.127949595E1
6.443267083E-1,-8.323441315E0,-4.067341919E0,5.317542114E0,1.068172270E1
6.542667083E-1,-7.607929230E0,-3.613036652E0,4.807852020E0,9.697941125E0
6.642077083E-1,-7.112309875E0,-3.593427429E0,3.830384674E0,8.841352793E0
6.741477083E-1,-6.868466949E0,-3.844305725E0,3.464246063E0,8.599739852E0
6.840887084E-1,-7.040159912E0,-3.921395416E0,3.344046021E0,8.724897557E0
6.940287084E-1,-7.486681366E0,-4.203408966E0,2.528092804E0,8.950435634E0
7.039697084E-1,-8.057294769E0,-4.747078400E0,2.807861023E0,9.764160786E0
7.139097084E-1,-7.918982391E0,-4.781506805E0,3.441942444E0,9.870159940E0
7.238507082E-1,-7.473209381E0,-4.604275360E0,3.576362915E0,9.478321673E0
7.337907082E-1,-6.623426514E0,-4.508773956E0,3.161276093E0,8.613506133E0
7.437317083E-1,-6.066285095E0,-4.481231232E0,2.789449310E0,8.041285697E0
7.536717083E-1,-6.059549103E0,-4.458927612E0,2.962339783E0,8.085519635E0
7.636127083E-1,-6.320606232E0,-4.694986725E0,2.708916779E0,8.326535510E0
7.735527083E-1,-6.644682312E0,-4.719835052E0,1.671873322E0,8.320084516E0
7.834937084E-1,-6.624174957E0,-4.870870972E0,1.434317322E0,8.346397071E0
7.934337084E-1,-7.300917664E0,-5.559289398E0,2.138752441E0,9.422492205E0
8.033747084E-1,-8.276439056E0,-5.588478699E0,1.879491577E0,1.016184167E1
8.133147084E-1,-8.861123199E0,-5.413492584E0,2.025438080E0,1.057959384E1
8.232557082E-1,-9.030870209E0,-5.096152496E0,2.650837555E0,1.070300550E1
8.331957082E-1,-9.220675507E0,-4.752467194E0,3.141966248E0,1.083876160E1
8.431367083E-1,-9.418414307E0,-4.245321808E0,3.583547974E0,1.093485717E1
8.530767083E-1,-9.601333923E0,-3.972588959E0,3.598965912E0,1.099634629E1
8.630177083E-1,-9.676028595E0,-4.041296082E0,3.531905365E0,1.106489760E1
8.729577083E-1,-1.024858795E1,-3.852987671E0,4.262086945E0,1.174923207E1
8.828987083E-1,-9.988129578E0,-3.403472443E0,3.910019073E0,1.125320427E1
8.928387084E-1,-1.027777725E1,-3.065475311E0,3.297792206E0,1.122075209E1
9.027797084E-1,-1.041579025E1,-3.016078033E0,2.949167175E0,1.123757093E1
9.127197084E-1,-1.119821320E1,-3.306474152E0,2.739303589E0,1.199318699E1
9.226607084E-1,-1.223016724E1,-3.596271515E0,2.715952148E0,1.303405369E1
9.326007082E-1,-1.237401810E1,-3.448379059E0,2.477348328E0,1.308223592E1
9.425417082E-1,-1.212254105E1,-2.955154724E0,1.933229828E0,1.262641352E1
9.524817083E-1,-1.207868225E1,-2.453996887E0,1.773961029E0,1.245245371E1
9.624227083E-1,-1.113848740E1,-1.686692505E0,1.936073914E0,1.143062620E1
9.723627083E-1,-9.321266327E0,-5.694158936E-1,1.091829529E0,9.402251439E0
9.823037083E-1,-9.084159393E0,-2.215393066E-2,-1.202000427E-1,9.084981603E0
9.922437083E-1,-7.686066742E0,1.170565796E-1,-1.475930786E-1,7.688374856E0
1.002184708E0,-6.995253296E0,2.894979858E-1,6.339317322E-1,7.029882446E0
1.012124708E0,-6.384972382E0,9.849517822E-2,2.947370911E-1,6.392530295E0
1.022065708E0,-6.038892059E0,-3.092568970E-1,4.912783813E-1,6.066729892E0
1.032005708E0,-5.687422943E0,-6.816824341E-1,1.108145599E0,5.834334353E0
1.041946708E0,-5.345683594E0,-7.473957825E-1,1.982926483E0,5.750385290E0
1.051886708E0,-5.336253204E0,-9.310638428E-1,2.675386505E0,6.041537146E0
1.061827708E0,-5.992189178E0,-1.268312531E0,2.907104645E0,6.779838143E0
1.071767708E0,-6.486611023E0,-1.272653503E0,2.954256592E0,7.240400646E0
1.081708708E0,-7.005132751E0,-1.213975525E0,2.459535370E0,7.522960566E0
1.091648708E0,-7.975115662E0,-1.674867096E0,2.286794586E0,8.463869038E0
1.101589708E0,-9.036408691E0,-1.565893707E0,2.585423584E0,9.528542399E0
1.111529708E0,-8.837472382E0,-1.611698456E0,1.999841309E0,9.203143771E0
1.121470708E0,-8.477471008E0,-1.846260681E0,6.854246521E-1,8.703217805E0
1.131410708E0,-8.580606537E0,-2.026186523E0,3.987707520E-1,8.825602443E0
1.141351708E0,-9.082063751E0,-2.092348938E0,1.257385254E-2,9.319976618E0
1.151291708E0,-9.017697601E0,-2.042951660E0,6.339317322E-1,9.267922688E0
1.161232708E0,-8.563691711E0,-2.067799988E0,1.667981415E0,8.966313318E0
1.171172708E0,-8.972341919E0,-2.568508759E0,2.385289764E0,9.632744366E0
1.181113708E0,-9.571396179E0,-3.354973297E0,2.724185028E0,1.050184054E1
1.191053708E0,-9.830507355E0,-3.954925690E0,2.560275879E0,1.090116162E1
1.200994708E0,-9.924960938E0,-4.256548462E0,2.046693878E0,1.099145169E1
1.210934708E0,-1.042312500E1,-4.187991028E0,1.620081024E0,1.134924958E1
