"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.002695855E-2,3.840264130E0,4.550986176E0,1.126213028E1,1.273949301E1
2.996795811E-2,4.124672699E0,4.645739136E0,1.085452789E1,1.250666194E1
3.990995837E-2,4.212989044E0,4.835394745E0,1.066127975E1,1.244159174E1
4.985095840E-2,4.085603943E0,5.079237671E0,1.063583267E1,1.247444394E1
5.979195843E-2,3.862118683E0,5.248685303E0,1.103430405E1,1.281485560E1
6.973395823E-2,2.973416748E0,4.957241364E0,1.150372787E1,1.287443995E1
7.967495825E-2,1.976340179E0,3.977378998E0,1.131646729E1,1.215680451E1
8.961595828E-2,1.901196442E0,2.781515808E0,1.072938812E1,1.124593916E1
9.955795854E-2,2.536475372E0,1.939516754E0,1.003348526E1,1.052930477E1
1.094989581E-1,3.620221710E0,1.562750244E0,9.083111572E0,9.902076014E0
1.194399581E-1,4.903952179E0,1.339564362E0,8.149203644E0,9.604826895E0
1.293819584E-1,5.771847382E0,1.257684631E0,6.904841309E0,9.086959135E0
1.393229584E-1,6.120173035E0,1.583706665E0,5.487588501E0,8.371276625E0
1.492639584E-1,5.496120758E0,1.710043945E0,5.478307800E0,7.946285298E0
1.592059582E-1,5.558391266E0,1.595831451E0,5.535638580E0,8.005353582E0
1.691469583E-1,3.793710938E0,1.581161957E0,4.450395355E0,6.057915040E0
1.790879583E-1,2.423460388E0,1.456920319E0,3.727249146E0,4.678478734E0
1.890299581E-1,2.135159912E0,8.940907288E-1,2.933300171E0,3.736650368E0
1.989709581E-1,2.580034790E0,1.665736084E0,2.136357422E0,3.741026497E0
2.089119582E-1,3.093317413E0,1.890867920E0,1.612596588E0,3.967929166E0
2.188539584E-1,2.148332520E0,5.158273315E-1,1.595232697E0,2.725101431E0
2.287949584E-1,2.357896729E0,6.881190491E-1,1.280287628E0,2.769895525E0
2.387359585E-1,3.747157745E0,9.045689392E-1,3.334765320E0,5.097067380E0
2.486779583E-1,5.919440460E0,3.171903992E-1,6.023773499E0,8.451404160E0
2.586189583E-1,4.484075317E0,-9.958790588E-1,4.616100769E0,6.512072854E0
2.685599583E-1,2.606529694E0,-2.536325684E0,3.850293274E0,5.296385873E0
2.785019581E-1,3.317102051E0,-2.561772766E0,7.190148010E0,8.322504078E0
2.884429581E-1,6.863377533E0,-2.544558563E0,1.428614182E1,1.605224524E1
2.983839582E-1,2.725232849E0,-1.668729858E0,8.779692535E0,9.343155486E0
3.083259584E-1,6.132746887E-1,-1.904040527E0,9.054820404E0,9.273146646E0
3.182669585E-1,1.080752563E0,-2.563868408E0,9.369316406E0,9.773716654E0
3.282079585E-1,6.514453125E-1,-5.358856201E0,1.110166397E1,1.234458034E1
3.381499583E-1,4.790039062E-3,-6.642886047E0,1.377121262E1,1.528967805E1
3.480909583E-1,4.764891357E0,-2.723586273E0,1.393437332E1,1.497627696E1
3.580319583E-1,7.980654144E0,-1.826651459E0,1.331615891E1,1.563162129E1
3.679739581E-1,5.817801819E0,-2.472558289E0,1.281679733E1,1.429092916E1
3.779149582E-1,5.197342072E0,-1.638941803E0,1.200443665E1,1.318351220E1
3.878559582E-1,6.652166748E0,-1.299447784E0,1.388243134E1,1.544868236E1
3.977979585E-1,6.852001190E0,-1.955084381E0,1.720103027E1,1.861847786E1
4.077389585E-1,3.927382965E0,-3.014581146E0,1.981175125E1,2.042100693E1
4.176799585E-1,2.292333069E0,-3.045716400E0,2.179602493E1,2.212685884E1
4.276219583E-1,9.214837646E-1,-2.965483246E0,2.232457581E1,2.253951881E1
4.375629583E-1,4.126319275E0,-2.030826874E0,1.972957214E1,2.025849909E1
4.475039584E-1,6.540948029E0,-1.143322449E0,1.830977463E1,1.947662790E1
4.574459582E-1,1.749112701E0,-2.376158752E0,1.720956253E1,1.746065772E1
