"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.159999080E-4,4.643344116E-1,4.448150024E0,8.689430237E0,9.772811414E0
1.035799971E-2,6.093827820E-1,4.440216522E0,8.748856659E0,9.830023549E0
2.029999997E-2,7.162605286E-1,4.447700958E0,8.632249146E0,9.737083663E0
3.024199978E-2,7.170089722E-1,4.459975433E0,8.477920074E0,9.606279796E0
4.018399958E-2,7.634124756E-1,4.389322357E0,8.652906189E0,9.732509177E0
5.012599984E-2,8.713380432E-1,4.367318115E0,9.029073944E0,1.006761510E1
6.006799964E-2,9.813592529E-1,4.412524109E0,9.295220490E0,1.033608044E1
7.000899967E-2,1.008303223E0,4.546196136E0,9.380093994E0,1.047237977E1
7.995099993E-2,9.830058289E-1,4.649331665E0,9.229656830E0,1.038119216E1
8.989299973E-2,8.812174988E-1,4.554429016E0,8.846304016E0,9.988816881E0
9.983500000E-2,5.099894714E-1,4.345014496E0,8.128097534E0,9.230666810E0
1.097769998E-1,7.274871826E-2,4.131708069E0,7.793692932E0,8.821448490E0
1.197189996E-1,1.496887207E-3,3.980971527E0,8.105644226E0,9.030481984E0
1.296609999E-1,1.721420288E-2,3.945944366E0,8.305029602E0,9.194796896E0
1.396029997E-1,1.197509766E-1,4.282444611E0,8.168064423E0,9.223391380E0
1.495439997E-1,1.993853760E-1,4.170776825E0,8.277486877E0,9.271025987E0
1.594860000E-1,3.263214111E-1,4.013004913E0,8.604706421E0,9.500087720E0
1.694279998E-1,5.348377991E-1,4.196672974E0,8.580606537E0,9.566865948E0
1.793699996E-1,5.924679565E-1,4.438120880E0,8.500223694E0,9.607379355E0
1.893119998E-1,5.813909912E-1,4.608316956E0,8.628207550E0,9.799008428E0
1.992539996E-1,5.828878784E-1,4.628375244E0,8.741970978E0,9.908767444E0
2.091959999E-1,4.896318054E-1,4.587510223E0,8.934470673E0,1.005533468E1
2.191379997E-1,4.317022705E-1,4.461023254E0,9.059011688E0,1.010706625E1
